type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
PAYMENT,3736.7482031499744,1935.7028344950793,0,473.96265675585937,0,0
PAYMENT,14718.705184139648,607.7581937171757,0,626.3450301752118,0,0
PAYMENT,11519.626899703031,774.0586989477199,0,127.83779325420943,0,0
CASH_OUT,8206.573931835363,2846.1965966318353,0,906.9171926221092,0,0
TRANSFER,5450.690126083671,16216.953067266722,0,629.2842738449023,0,1
PAYMENT,16222.20569019808,2433.530135098166,0,774.8739381594419,0,0
PAYMENT,6615.677078795616,1240.7923095642718,0,263.05466576501806,0,0
CASH_OUT,6197.667442085623,2998.102040389348,0,629.1924665174495,0,0
CASH_OUT,16647.661648119545,1297.9694895077273,0,750.7644724447019,0,0
PAYMENT,4358.49410609644,1774.779815716598,0,460.28155255569465,0,0
PAYMENT,7810.28078885852,4385.6595271076585,0,377.9220478146538,0,0
TRANSFER,1181.2406405436084,16537.83705513216,0,897.5541646503938,0,1
CASH_OUT,16173.584617631444,4486.612979738412,0,834.4711381090161,0,0
TRANSFER,7481.417148378462,17872.212092051508,0,891.7771620649092,0,1
CASH_OUT,1514.0544703339892,16376.297343983613,0,100.83647518296496,0,1
CASH_OUT,17196.323977173637,2750.26216635989,0,707.4038827487393,0,0
CASH_OUT,1362.600511610879,20122.147076770518,0,712.4315162719365,0,1
PAYMENT,19533.564364125796,3405.2115967628524,0,941.0894926439639,0,0
PAYMENT,17737.13550746878,1181.1702706847373,0,236.69755510296724,0,0
PAYMENT,2701.27473943617,3522.6898665982735,0,756.3788204294856,0,0
CASH_OUT,14549.614060958274,2151.326331532402,0,232.50436696946528,0,0
CASH_OUT,7706.9326842175105,17322.246909013433,0,464.792824582258,0,1
TRANSFER,9293.62052716676,23120.77611008679,0,842.690234133668,0,1
CASH_OUT,17950.20625835178,4307.558947386042,0,264.5320496853033,0,0
PAYMENT,608.8390018857199,4045.865601159192,0,912.9232945856174,0,0
TRANSFER,3236.858388346834,18169.426217672815,0,827.9436911425156,0,1
PAYMENT,18531.483517498466,4420.918612610841,0,806.5752915157814,0,0
CASH_OUT,7212.905622106561,24450.240645805687,0,714.2864308904414,0,1
PAYMENT,13420.20398639089,1540.7596774217996,0,319.21401327816875,0,0
CASH_OUT,16067.681008017287,4376.3812074298285,0,223.5700294440132,0,0
PAYMENT,13684.78684037956,1560.3028303624178,0,949.2167296316594,0,0
CASH_OUT,6327.09900577357,4363.279045481995,0,218.51821309258634,0,0
PAYMENT,1731.1181194088776,3410.7675301687145,0,662.4817735384316,0,0
PAYMENT,1167.3323512645336,3728.592457753605,0,527.9281437094603,0,0
CASH_OUT,3971.2471600528334,4192.484626650735,0,708.9801713378628,0,0
PAYMENT,14435.64157187027,2800.0113732027526,0,643.8816840162879,0,0
PAYMENT,19626.707789363696,4696.200156154108,0,940.479348561624,0,0
CASH_OUT,13453.158312604904,3636.608747019348,0,426.6845563634845,0,0
CASH_OUT,2871.0122074227793,3254.038384817549,0,375.6708971987838,0,0
PAYMENT,19232.190730876784,3556.2315574380327,0,668.2383798790389,0,0
TRANSFER,6666.6551044473335,23634.846083691154,0,219.0591528859344,0,1
PAYMENT,2871.156008615609,548.2188396291152,0,589.8316033137257,0,0
CASH_OUT,5187.217966527694,2874.0364204973894,0,254.43673035867099,0,0
TRANSFER,8919.23164054313,20055.207917234904,0,556.9820543697119,0,1
CASH_OUT,4570.7955080997635,19740.06265948445,0,506.139952665803,0,1
CASH_OUT,8361.398514455639,2399.865052463051,0,806.5575289417881,0,0
CASH_OUT,8679.182222774058,21735.46578131391,0,223.6255713718068,0,1
TRANSFER,7769.028994272773,20128.74742305268,0,388.76908847485925,0,1
PAYMENT,16928.505093319112,1668.2147766881533,0,101.47938140120472,0,0
PAYMENT,4164.417916731734,2384.128144974579,0,297.67143573511214,0,0
CASH_OUT,5616.814148388167,17813.92982172163,0,840.0053013193095,0,1
PAYMENT,1445.3345145004248,3758.1313494781457,0,935.9271646190967,0,0
CASH_OUT,6223.285986457892,1589.7859265636175,0,165.7032336096646,0,0
PAYMENT,14402.490453917828,997.7161949292238,0,132.03120772582875,0,0
CASH_OUT,4729.469103896821,3876.17357339292,0,347.0560061563704,0,0
CASH_OUT,16067.795510581353,2035.6000239097427,0,499.7650661905299,0,0
CASH_OUT,17561.29731940306,3979.325755664412,0,704.4289686450334,0,0
CASH_OUT,5146.6024021750645,24888.40541303663,0,534.9088682878917,0,1
CASH_OUT,5660.961615646162,4021.2506497113213,0,897.8522739777123,0,0
CASH_OUT,2037.6011864452998,3678.673985644982,0,411.02162728373173,0,0
CASH_OUT,9586.380385702772,16218.795017813836,0,116.4475627511556,0,1
PAYMENT,111.89898281242664,1885.186175117536,0,317.04869287698574,0,0
TRANSFER,2664.282677204299,19281.5517303012,0,155.2826163338494,0,1
CASH_OUT,4391.801923124696,23759.049249998945,0,914.7690991094639,0,1
PAYMENT,10787.122163365288,4279.989922719546,0,405.39055209014,0,0
CASH_OUT,6031.517403283083,1941.805787630967,0,247.85815894516836,0,0
CASH_OUT,14386.860549708026,1776.235655377113,0,393.6539364120518,0,0
CASH_OUT,2711.158896868351,23212.501545597042,0,590.1677839964223,0,1
TRANSFER,5288.738237490136,22378.804151687422,0,225.1019846791699,0,1
CASH_OUT,363.2533768153503,2803.0120545626633,0,792.4983214794012,0,0
PAYMENT,386.1865960846442,4113.415855890968,0,982.7144248731263,0,0
CASH_OUT,5850.473645929064,2196.7426895076446,0,453.98860334666983,0,0
PAYMENT,11885.205846695666,3654.2091425809967,0,274.8462139016213,0,0
CASH_OUT,15949.1671743172,3827.611549574273,0,680.98092076947,0,0
TRANSFER,4613.478495083887,22931.285379630564,0,298.4579084229832,0,1
